id,question,answer,supporting_titles
5a8483b45542992a431d1a40,What star of Two and a Half Men won two young artist and TV-land awards for his character?,Angus Turner Jones,"Angus T. Jones, Two and a Half Men (season 11)"
5ae528ed5542993aec5ec16e,What is the name of the film directed by Alex Cox  adapted from a 1606 play starring Diana Quick as the Dutchess?,Revengers Tragedy,"Diana Quick, Revengers Tragedy"
5ab8688b55429934fafe6daa,"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"Maurice Ward, Starlite"
5a7e43c9554299495941995a,How many Studio albums did the group that released the debut album The Cactus Al/Bum release in their initial career?,two studio albums,"The Cactus Album, 3rd Bass"
5ab3f7b05542992ade7c6efd, Here I Am Again is an album by what American country singer who had a career of almost 60 years,Loretta Lynn,"Here I Am Again, Loretta Lynn"
5ab7f27e5542991d322237d6,Aughton Park railway station is on a branch of the Northern Line how far from Liverpool?,12+3/4 mi northeast of Liverpool,"Aughton Park railway station, Ormskirk railway station"
5ae4aba25542995ad6573e12,Michał Wiśniowiecki was related to the King of Poland and Grand Duke of Lithuania Michał Korybut Wiśniowiecki in what way?,grandfather,"Michał Korybut Wiśniowiecki, Michał Wiśniowiecki"
5a71214d5542994082a3e5b9,What production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca?,The Los Angeles Dance Theater,"Casablanca (film), Los Angeles Dance Theater"
5ab3b2fb554299753aec59af,"When did the man for whom St Vincents Hall, Grantham was built found his eponymous company?",1828,"St Vincents Hall, Richard Hornsby &amp; Sons"
5ab8634e5542990e739ec8de,"In regards to Value premium an expert argued that no value premium exisits, what did this expert found?",The Vanguard Group,"Value premium, John C. Bogle"
5a7adaa35542992d025e670c,Which movie was Valeria Golino in that also stared Tom Cruise?,Rain Man,"Valeria Golino, Rain Man"
5adcf2b55542992c1e3a24cd,How many children's books has the writer of the sitcom Maid Marian and her Merry Men written ? ,sixteen,"Maid Marian and Her Merry Men, Tony Robinson"
5a8c758d5542995e66a475ff,"What netflix series, produced by Joe Swanberg, had an actress  best known for her role as Vanessa on ""Atlanta""?",Easy,"Zazie Beetz, Easy (TV series)"
5ac31456554299741d48a1b4,"Which band has more members, Lawson or American Music Club?",Lawson,"Lawson (band), American Music Club"
5addf05a5542997dc79070cd,Were Maurice Tourneur and Greg Mottola both American film directors?,French film director,"Greg Mottola, Maurice Tourneur"
5ab67f4c55429953192ad2d9,What sport does 200-foot game and Jonathan Toews have in common?,ice hockey,"200-foot game, Jonathan Toews"
5a90580655429933b8a204ef,What record did the Super Bowl XXXIV champions finish the regular-season with in 1999?,a record of 13–3,"1999 St. Louis Rams season, 2000 Tennessee Titans season"
5a9068a95542990a98493621,"on 16 January 1995 ""First Knight"" was being filmed at a studio located how far from Windsor ?",7 miles,"Pinewood Studios, Filming of James Bond in the 1990s"
5ab840e255429934fafe6d3b,"Hudson Austin formed a military government with himself as chairman to rule Grenada, after the killing of a Grenadian politician who was the leader of what movement that was an effort in the areas of socio-economic development, education, and black liberation?",New Jewel Movement,"Hudson Austin, Maurice Bishop"
5a72a3c45542994cef4bc3ac,"What is the birth name of the woman that ""A Woman Called Moses"" is based on?",Araminta Ross,"Harriet Tubman, A Woman Called Moses"
5add16b65542990d50227dd2,What is the age range of the league for which the Bobby Smith Trophy is awarded?,16–21,"Ontario Hockey League, Bobby Smith Trophy"
5ab3c53955429969a97a81b9,Who won the special election in 2014 to replace Bill Young?,David Jolly,"Alex Sink, Rod Smith (politician)"
5a89d36e554299515336132a,Who directed the film based on the rock opera 5:15 appeared in?,Franc Roddam,"5.15, Quadrophenia (film)"
5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,"Sarod, Apratim Majumdar"
5abf12005542997719eab661,"Louis, Count of Armagnac has a descendant that includes which final king of Italy?",Umberto II,"Louis, Count of Armagnac, Umberto II of Italy"
5a7553a95542996c70cfaedf,What psychosis shares a name with an enemy fought by the protagonists in an animated show by Hasbro?,Wendigo,"Wendigo, Equestria"
5a81e107554299676cceb12a,Ed Oxenbould plays Tyler in a film directed by which famous director?,M. Night Shyamalan,"The Visit (2015 American film), Ed Oxenbould"
5a7a06485542990198eaf04e,When was the actor who plays Marius Josipovic in Sneaky Pete born?,"December 17, 1974","Sneaky Pete, Giovanni Ribisi"
5ab42ae95542991751b4d6c4,"What is the nickname for the artist who released ""Sings the Country Music Hall of Fame Hits, Vol. 2?""",The Killer,"Sings the Country Music Hall of Fame Hits, Vol. 2, Jerry Lee Lewis"
5a8933fe55429951533612df,"The younger brother, who became king, of Princess Mafalda of Savoy reigned for how many days?",34 days,"Princess Mafalda of Savoy, Umberto II of Italy"
5a7600275542994ccc91867a,What wrestling team is Mathew Thomas Rehwoldt a part of?,The Vaudevillains,"Aiden English, Simon Gotch"
5adce22c5542990d50227d51,In which football league does the son of Souleyman Sané play?,Premier League,"Souleyman Sané, Leroy Sané"
5adcdf455542994ed6169c11,What where both Hawker Hurricane and No. 1455 Flight apart of?,Royal Air Force,"Hawker Hurricane, No. 1455 Flight RAF"
5ae792f55542994a481bbdae,"Which player selected out of the University of Florida with the third pick by the Hawks was born in June 3, 1986?",Alfred Joel Horford Reynoso,"Al Horford, 2007–08 Atlanta Hawks season"
5a8e2fe95542995085b373d0,"What editor of the The Dungeons & Dragons Basic Set is best known for his work at TSR, Inc.?",Dave Cook,"Dungeons &amp; Dragons Basic Set, David Cook (game designer)"
5a8361b65542992ef85e22a0,Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,International Boxing Hall of Fame,"Vince Phillips, International Boxing Federation"
5ae4b55455429913cc2044db,"Among the cast for ""Suicide Squad"", who has also appeared in ""Flags of Our Fathers""?",Scott Eastwood,"Suicide Squad (film), Scott Eastwood"
5ae6545f5542991bbc9760c2,Who is the costar of a movie with the star of Scott McCall and was directed by the director of Supernatural?,Dylan O'Brien,"Tim Andrew, Teen Wolf (2011 TV series)"
5a87560d5542994775f607d9,In what year was the soft drink that the Coca-Cola Company designed Red Flash to compete against created?,1937,"Red Flash, Big Red (drink)"
5a8c6d4e5542996e8ac88aa6,"Which director was from a country closer to Canada, J. Searle Dawley or Lionel Ngakane?",James Searle Dawley,"J. Searle Dawley, Lionel Ngakane"
5a8e8af55542990e94052b3f,"Which university is a private research university, University of California, Berkeley or Brown University?",Brown University,"Brown University, University of California, Berkeley"
